,prop_pk1,prop_1,prop_2,prop_3,prop_4,prop_pk2,uf,partido,orgao
581,SHERIDAN ESTERFANY OLIVEIRA,,,,,DEP. SHERIDAN ESTERFANY OLIVEIRA,RR,PSDB,camara
582,SIDNEY RICARDO DE OLIVEIRA LEITE,,,,,DEP. SIDNEY RICARDO DE OLIVEIRA LEITE,AM,PSD,camara
583,SILAS CAMARA,SILAS CAMARA,,,,DEP. SILAS CAMARA,AM,REPUBLICANOS,camara
584,SILVIA CRISTINA AMANCIO CHAGAS,,,,,DEP. SILVIA CRISTINA AMANCIO CHAGAS,RO,PDT,camara
585,SILVIO SERAFIM COSTA FILHO,,,,,DEP. SILVIO SERAFIM COSTA FILHO,PE,REPUBLICANOS,camara
586,SORAYA ALENCAR DOS SANTOS,,,,,DEP. SORAYA ALENCAR DOS SANTOS,RJ,PL,camara
587,SOSTENES SILVA CAVALCANTE,,,,,DEP. SOSTENES SILVA CAVALCANTE,RJ,DEM,camara
588,STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,,,,DEP. STEFANO AGUIAR DOS SANTOS,MG,PSD,camara
589,LUIZ GONZAGA RIBEIRO,SUBTENENTE GONZAGA,,,,DEP. LUIZ GONZAGA RIBEIRO,MG,PDT,camara
590,TABATA CLAUDIA AMARAL DE PONTES,,,,,DEP. TABATA CLAUDIA AMARAL DE PONTES,SP,PSB,camara
591,FRANCISCO TADEU BARBOSA DE ALENCAR,,,,,DEP. FRANCISCO TADEU BARBOSA DE ALENCAR,PE,PSB,camara
592,TALIRIA PETRONE SOARES,,,,,DEP. TALIRIA PETRONE SOARES,RJ,PSOL,camara
593,JOAO BATISTA CONTI,,,,,DEP. JOAO BATISTA CONTI,ES,PSB,camara
594,TEREZA NELMA DA SILVA PORTO VIANA SOARES,,,,,DEP. TEREZA NELMA DA SILVA PORTO VIANA SOARES,AL,PSDB,camara
595,ERONILDES VASCONCELOS CARVALHO,,,,,DEP. ERONILDES VASCONCELOS CARVALHO,BA,REPUBLICANOS,camara
596,TIAGO DIMAS BRAGA PEREIRA,,,,,DEP. TIAGO DIMAS BRAGA PEREIRA,TO,SOLIDARIEDADE,camara
597,TIAGO LIMA MITRAUD DE CASTRO LEITE,,,,,DEP. TIAGO LIMA MITRAUD DE CASTRO LEITE,MG,NOVO,camara
598,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,,,,,DEP. FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,SP,PL,camara
599,CARLOS TITO MARQUES CORDEIRO,,,,,DEP. CARLOS TITO MARQUES CORDEIRO,BA,AVANTE,camara
600,ANTONIO WANDSCHEER,,,,,DEP. ANTONIO WANDSCHEER,PR,PROS,camara
601,TULIO GADELHA SALES DE MELO,,,,,DEP. TULIO GADELHA SALES DE MELO,PE,PDT,camara
602,ULDURICO ALENCAR PINTO,ULDURICO JUNIOR,,,,DEP. ULDURICO ALENCAR PINTO,BA,PROS,camara
603,FRANCISCO VAIDON OLIVEIRA,,,,,DEP. FRANCISCO VAIDON OLIVEIRA,CE,PROS,camara
604,JOSE VALDEVAN DE JESUS SANTOS,,,,,DEP. JOSE VALDEVAN DE JESUS SANTOS,SE,PL,camara
605,VALMIR CARLOS DA ASSUNCAO,,,,,DEP. VALMIR CARLOS DA ASSUNCAO,BA,PT,camara
606,VANDER LUIZ DOS SANTOS LOUBET,,,,,DEP. VANDER LUIZ DOS SANTOS LOUBET,MS,PT,camara
607,VANDERLEI MACRIS,,,,,DEP. VANDERLEI MACRIS,SP,PSDB,camara
608,WAGNER BACH MARTINS,,,,,DEP. WAGNER BACH MARTINS,PA,REPUBLICANOS,camara
609,NELSI COGUETTO MARIA,,,,,DEP. NELSI COGUETTO MARIA,PR,PSD,camara
610,VICENTE PAULO DA SILVA,,,,,DEP. VICENTE PAULO DA SILVA,SP,PT,camara
611,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JUNIOR,,,,DEP. VICENTE ALVES DE OLIVEIRA JUNIOR,TO,PL,camara
612,VILSON LUIZ DA SILVA,VILSON DA FETAEMG,,,,DEP. VILSON LUIZ DA SILVA,MG,PSB,camara
613,VINICIUS RAPOZO DE CARVALHO,,,,,DEP. VINICIUS RAPOZO DE CARVALHO,SP,REPUBLICANOS,camara
614,VINICIUS LAZZER POIT,,,,,DEP. VINICIUS LAZZER POIT,SP,NOVO,camara
615,VITOR HUGO DE ARAUJO ALMEIDA,,,,,DEP. VITOR HUGO DE ARAUJO ALMEIDA,GO,PSL,camara
616,VITOR LIPPI,,,,,DEP. VITOR LIPPI,SP,PSDB,camara
617,VIVIANE DA COSTA REIS,,,,,DEP. VIVIANE DA COSTA REIS,PA,PSOL,camara
618,WALDENOR ALVES PEREIRA FILHO,,,,,DEP. WALDENOR ALVES PEREIRA FILHO,BA,PT,camara
619,WALTER PEREIRA ALVES,,,,,DEP. WALTER PEREIRA ALVES,RN,MDB,camara
620,WELITON FERNANDES PRADO,WELITON PRADO,,,,DEP. WELITON FERNANDES PRADO,MG,PROS,camara
621,JOSE WELLINGTON ROBERTO,,,,,DEP. JOSE WELLINGTON ROBERTO,PB,PL,camara
622,JOSE WILSON SANTIAGO,,,,,DEP. JOSE WILSON SANTIAGO,PB,PTB,camara
623,WOLNEY QUEIROZ MACIEL,,,,,DEP. WOLNEY QUEIROZ MACIEL,PE,PDT,camara
624,JOSE CARLOS NUNES JUNIOR,,,,,DEP. JOSE CARLOS NUNES JUNIOR,MA,PT,camara
625,JOSE CERQUEIRA DE SANTANA NETO,,,,,DEP. JOSE CERQUEIRA DE SANTANA NETO,BA,PT,camara
626,JOSE SILVA SOARES,ZE SILVA,,,,DEP. JOSE SILVA SOARES,MG,SOLIDARIEDADE,camara
627,JOSE VITOR DE RESENDE AGUIAR,ZE VITOR,,,,DEP. JOSE VITOR DE RESENDE AGUIAR,MG,PL,camara
628,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,,,,,DEP. JOSE CARLOS BECKER DE OLIVEIRA E SILVA,PR,PT,camara
629,JOSE LOURENÇO BOMFIM JUNIOR,,,JUNIOR LOURENCO	,,DEP. JOSE LOURENÇO BOMFIM JUNIOR,MA,PL,camara
