,proponente,nota_de_credito,programa,mes,valor_faturado,valor_economizado,valor_utilizado,saldo_no_periodo,relatorio,prop_pk1,prop_pk2
15,EDNA HENRIQUE,16/2021,GESAC,2021-01-01,50000.0,2096.092322889344,50000.0,160096.09232288934,0.0,EDNACE ALVES SILVESTRE HENRIQUE,DEP. EDNACE ALVES SILVESTRE HENRIQUE
16,ELIAS VAZ,17/2021,GESAC,2021-01-01,20000.0,4030.9467747872004,20000.0,384030.9467747872,0.0,ELIAS VAZ DE ANDRADE,DEP. ELIAS VAZ DE ANDRADE
17,EXPEDITO NETTO,18/2021,GESAC,2021-01-01,10000.0,2835.158755247705,10000.0,274174.3987552477,0.0,EXPEDITO GONCALVES FERREIRA NETTO,DEP. EXPEDITO GONCALVES FERREIRA NETTO
18,FABIO REIS,19/2021,GESAC,2021-01-01,500000.0,822.1919113323371,81587.97,-417589.83808866766,0.0,FABIO DE ALMEIDA REIS,DEP. FABIO DE ALMEIDA REIS
19,FLAVIA ARRUDA,20/2021,GESAC,2021-01-01,50000.0,8882.36948686471,50000.0,840300.0594868646,0.0,FLAVIA CAROLINA PERES,DEP. FLAVIA CAROLINA PERES
20,FLAVIANO MELO,21/2021,GESAC,2021-01-01,20000.0,665.106217839888,20000.0,46665.106217839886,0.0,FLAVIANO FLAVIO BAPTISTA DE MELO,DEP. FLAVIANO FLAVIO BAPTISTA DE MELO
21,FLAVIANO MELO,22/2021,GESAC,2021-01-01,10000.0,5066.859987987102,10000.0,497862.8799879871,0.0,FLAVIANO FLAVIO BAPTISTA DE MELO,DEP. FLAVIANO FLAVIO BAPTISTA DE MELO
22,GENERAL GIRAO,23/2021,GESAC,2021-01-01,500000.0,2086.014955952376,207000.0,-290913.9850440476,0.0,ELIESER GIRAO MONTEIRO FILHO,DEP. ELIESER GIRAO MONTEIRO FILHO
23,JOAO ROMA,24/2021,GESAC,2021-01-01,50000.0,727.2615024073887,50000.0,22895.071502407387,0.0,JOAO INACIO RIBEIRO ROMA NETO,DEP. JOAO INACIO RIBEIRO ROMA NETO
24,JOENIA WAPICHANA,25/2021,GESAC,2021-01-01,20000.0,91.6881168866484,9098.42,-10809.891883113352,0.0,JOENIA BATISTA DE CARVALHO,DEP. JOENIA BATISTA DE CARVALHO
25,JOSE NUNES,26/2021,GESAC,2021-01-01,10000.0,2086.014955952376,10000.0,199086.01495595239,0.0,JOSE NUNES SOARES,DEP. JOSE NUNES SOARES
26,JOSIVALDO JP,27/2021,GESAC,2021-01-01,500000.0,1027.8914275707361,102000.0,-396972.1085724293,0.0,JOSIVALDO DOS SANTOS MELO,DEP. JOSIVALDO DOS SANTOS MELO
27,JUNIOR LOURENCO,28/2021,GESAC,2021-01-01,50000.0,3476.69159325396,50000.0,298476.691593254,0.0,JOSE LOURENCO BOMFIM JUNIOR,DEP. JOSE LOURENCO BOMFIM JUNIOR
28,LEO DE BRITO,29/2021,GESAC,2021-01-01,20000.0,4333.2677828962405,20000.0,414333.26778289623,0.0,LEONARDO CUNHA DE BRITO,DEP. LEONARDO CUNHA DE BRITO
29,LEUR LOMANTO,30/2021,GESAC,2021-01-01,10000.0,666.1371324775399,10000.0,56768.43713247754,0.0,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,DEP. LEUR ANTONIO DE BRITTO LOMANTO JUNIOR
30,LUCIANO BIVAR,31/2021,GESAC,2021-01-01,3285.93,32.78358934567493,3253.19,0.04358934567517281,0.0,LUCIANO CALDAS BIVAR,DEP. LUCIANO CALDAS BIVAR
31,LUIS TIBE,32/2021,GESAC,2021-01-01,50000.0,2086.014955952376,50000.0,159086.01495595239,0.0,LUIS HENRIQUE DE OLIVEIRA RESENDE,DEP. LUIS HENRIQUE DE OLIVEIRA RESENDE
32,MARA ROCHA,33/2021,GESAC,2021-01-01,20000.0,4115.345730621,20000.0,392490.445730621,0.0,CYLMARA FERNANDES DA ROCHA GRIPP,DEP. CYLMARA FERNANDES DA ROCHA GRIPP
33,MARX BELTRAO,34/2021,GESAC,2021-01-01,10000.0,2086.014955952376,10000.0,199086.01495595239,0.0,MARX BELTRAO LIMA SIQUEIRA,DEP. MARX BELTRAO LIMA SIQUEIRA
34,MINISTERIO DAS COMUNICACOES,35/2021,GESAC,2021-01-01,500000.0,155115.13583645658,500000.0,15047542.225836456,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
35,MINISTERIO DAS COMUNICACOES,36/2021,GESAC,2021-01-01,50000.0,37165.329263537984,50000.0,3675165.329263538,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
36,MINISTERIO DAS COMUNICACOES,37/2021,GESAC,2021-01-01,20000.0,100773.66936968,20000.0,10080773.66936968,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
37,MINISTERIO DA EDUCACAO,38/2021,GESAC,2021-01-01,10000.0,169936.63397674492,10000.0,17023134.633976746,0.0,MINISTERIO DA EDUCACAO,MINISTERIO DA EDUCACAO
38,MINISTERIO DA EDUCACAO,39/2021,GESAC,2021-01-01,500000.0,37094.78769497921,500000.0,3218094.787694979,0.0,MINISTERIO DA EDUCACAO,MINISTERIO DA EDUCACAO
39,MINISTERIO DA JUSTICA,40/2021,GESAC,2021-01-01,50000.0,6307.731325539849,50000.0,582238.2313255399,0.0,MINISTERIO DA JUSTICA,MINISTERIO DA JUSTICA
40,MINISTERIO DO MEIO AMBIENTE,41/2021,GESAC,2021-01-01,20000.0,1086.3401558051505,20000.0,88886.34015580516,0.0,MINISTERIO DO MEIO AMBIENTE,MINISTERIO DO MEIO AMBIENTE
41,PERPETUA ALMEIDA,42/2021,GESAC,2021-01-01,10000.0,4172.029911904752,10000.0,408172.02991190477,0.0,MARIA PERPETUA DE ALMEIDA,DEP. MARIA PERPETUA DE ALMEIDA
42,POLICIA RODOVIARIA FEDERAL RO,43/2021,GESAC,2021-01-01,500000.0,467.5898258753152,46400.0,-453132.4101741247,0.0,POLICIA RODOVIARIA FEDERAL-RO,POLICIA RODOVIARIA FEDERAL-RO
43,CONFUCIO MOURA,44/2021,GESAC,2021-01-01,500000.0,3456.852079417813,343031.28,-153511.86792058218,0.0,CONFUCIO AIRES MOURA,SEN. CONFUCIO AIRES MOURA
44,SERGIO PETECAO,45/2021,GESAC,2021-01-01,50000.0,2871.9084938987626,50000.0,237857.90849389875,0.0,SERGIO PETECAO,SEN. SERGIO PETECAO
45,SORAYA THRONICKE,46/2021,GESAC,2021-01-01,20000.0,3476.69159325396,20000.0,328476.691593254,0.0,SORAYA THRONICKE,SEN. SORAYA THRONICKE
46,ULDURICO JUNIOR,47/2021,GESAC,2021-01-01,10000.0,3113.9063835231123,10000.0,302113.90638352314,0.0,ULDURICO ALENCAR PINTO,DEP. ULDURICO ALENCAR PINTO
47,BANCADA-AL,48/2021,WifiBrasil,2021-01-01,50000.0,6127.039097676544,50000.0,564127.0390976765,0.0,BANCADA-AL,BANCADA-AL
48,BANCADA-AL,49/2021,WifiBrasil,2021-01-01,20000.0,6127.039097676544,20000.0,594127.0390976765,0.0,BANCADA-AL,BANCADA-AL
49,BANCADA-AL,50/2021,WifiBrasil,2021-01-01,10000.0,1763.5392139694002,10000.0,166763.5392139694,0.0,BANCADA-AL,BANCADA-AL
50,BANCADA-MG,51/2021,WifiBrasil,2021-01-01,500000.0,7558.025202726,500000.0,257558.025202726,0.0,BANCADA-MG,BANCADA-MG
51,BANCADA-SP,52/2021,WifiBrasil,2021-01-01,500000.0,52402.3080722336,500000.0,4752402.308072234,0.0,BANCADA-SP,BANCADA-SP
52,BANCADA-ES,53/2021,WifiBrasil,2021-01-01,10000.0,7006.591683935111,10000.0,692286.5916839351,0.0,BANCADA-ES,BANCADA-ES
53,BANCADA-ES,54/2021,WifiBrasil,2021-01-01,50000.0,7890.578311645944,50000.0,740890.5783116459,0.0,BANCADA-ES,BANCADA-ES
54,BANCADA-PA,55/2021,WifiBrasil,2021-01-01,20000.0,8466.540040787744,20000.0,828620.5300407878,0.0,BANCADA-PA,BANCADA-PA
55,BANCADA-PA,56/2021,WifiBrasil,2021-01-01,10000.0,1854.2355164021121,10000.0,175854.2355164021,0.0,BANCADA-PA,BANCADA-PA
56,CORONEL CHRISOSTOMO,57/2021,WifiBrasil,2021-01-01,50000.0,3148.3709784475427,50000.0,265568.37097844755,0.0,JOAO CHRISOSTOMO DE MOURA,DEP. JOAO CHRISOSTOMO DE MOURA
57,DIMAS FABIANO,58/2021,WifiBrasil,2021-01-01,20000.0,619.758066623532,20000.0,42119.75806662353,0.0,DIMAS FABIANO TOLEDO JUNIOR,DEP. DIMAS FABIANO TOLEDO JUNIOR
58,EDNA HENRIQUE,59/2021,WifiBrasil,2021-01-01,10000.0,937.1951251380241,10000.0,83937.19512513802,0.0,EDNACE ALVES SILVESTRE HENRIQUE,DEP. EDNACE ALVES SILVESTRE HENRIQUE
59,FABIO REIS,60/2021,WifiBrasil,2021-01-01,50000.0,927.1177582010561,50000.0,42927.11775820106,0.0,FABIO DE ALMEIDA REIS,DEP. FABIO DE ALMEIDA REIS
60,FLAVIA ARRUDA,61/2021,WifiBrasil,2021-01-01,20000.0,422.0401273202199,20000.0,22302.040127320222,0.0,FLAVIA CAROLINA PERES,DEP. FLAVIA CAROLINA PERES
61,GENERAL GIRAO,62/2021,WifiBrasil,2021-01-01,10000.0,3713.9531204179348,10000.0,362257.95312041795,0.0,ELIESER GIRAO MONTEIRO FILHO,DEP. ELIESER GIRAO MONTEIRO FILHO
62,JOSE NUNES,63/2021,WifiBrasil,2021-01-01,50000.0,937.1951251380241,50000.0,43937.19512513802,0.0,JOSE NUNES SOARES,DEP. JOSE NUNES SOARES
63,JOSIVALDO JP,64/2021,WifiBrasil,2021-01-01,20000.0,937.1951251380241,20000.0,73937.19512513802,0.0,JOSIVALDO DOS SANTOS MELO,DEP. JOSIVALDO DOS SANTOS MELO
64,JUNIOR LOURENCO,65/2021,WifiBrasil,2021-01-01,10000.0,483.713612974464,10000.0,38483.71361297446,0.0,JOSE LOURENCO BOMFIM JUNIOR,DEP. JOSE LOURENCO BOMFIM JUNIOR
65,LEO DE BRITO,66/2021,WifiBrasil,2021-01-01,50000.0,1561.99187523004,50000.0,106561.99187523004,0.0,LEONARDO CUNHA DE BRITO,DEP. LEONARDO CUNHA DE BRITO
66,LUCIANO BIVAR,67/2021,WifiBrasil,2021-01-01,10000.0,1713.15237928456,10000.0,161713.15237928455,0.0,LUCIANO CALDAS BIVAR,DEP. LUCIANO CALDAS BIVAR
67,LUIS TIBE,68/2021,WifiBrasil,2021-01-01,10000.0,937.1951251380241,10000.0,83937.19512513802,0.0,LUIS HENRIQUE DE OLIVEIRA RESENDE,DEP. LUIS HENRIQUE DE OLIVEIRA RESENDE
68,MARA ROCHA,69/2021,WifiBrasil,2021-01-01,50000.0,937.1951251380241,50000.0,43937.19512513802,0.0,CYLMARA FERNANDES DA ROCHA GRIPP,DEP. CYLMARA FERNANDES DA ROCHA GRIPP
69,MARX BELTRAO,70/2021,WifiBrasil,2021-01-01,20000.0,1713.15237928456,20000.0,151713.15237928455,0.0,MARX BELTRAO LIMA SIQUEIRA,DEP. MARX BELTRAO LIMA SIQUEIRA
70,PERPETUA ALMEIDA,71/2021,WifiBrasil,2021-01-01,10000.0,937.1951251380241,10000.0,83937.19512513802,0.0,MARIA PERPETUA DE ALMEIDA,DEP. MARIA PERPETUA DE ALMEIDA
71,SERGIO PETECAO,72/2021,WifiBrasil,2021-01-01,50000.0,1944.8915093670762,50000.0,144940.89150936707,0.0,SERGIO PETECAO,SEN. SERGIO PETECAO
72,ULDURICO JUNIOR,73/2021,WifiBrasil,2021-01-01,20000.0,1336.3999389790745,20000.0,113950.39993897907,0.0,ULDURICO ALENCAR PINTO,DEP. ULDURICO ALENCAR PINTO
73,SORAYA THRONICKE,74/2021,WifiBrasil,2021-01-01,10000.0,1420.908738112488,10000.0,132420.90873811248,0.0,SORAYA THRONICKE,SEN. SORAYA THRONICKE
74,MCOM,75/2021,WifiBrasil,2021-01-01,50000.0,1561.99187523004,50000.0,106561.99187523004,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
75,JUNIO AMARAL,76/2021,WifiBrasil,2021-01-01,20000.0,5038.6834684840005,20000.0,485038.683468484,0.0,GERALDO JUNIO DO AMARAL,DEP. GERALDO JUNIO DO AMARAL
76,LEUR LOMANTO,77/2021,WifiBrasil,2021-01-01,10000.0,937.1951251380241,10000.0,83937.19512513802,0.0,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,DEP. LEUR ANTONIO DE BRITTO LOMANTO JUNIOR
77,BANCADA-AL,01/2021,GESAC,2021-02-01,100000.0,17259.595035547874,100000.0,1619626.8014248305,0.0,BANCADA-AL,BANCADA-AL
78,BANCADA-AL,02/2021,GESAC,2021-02-01,50000.0,4814.510588709072,50000.0,429684.57122174604,0.0,BANCADA-AL,BANCADA-AL
79,BANCADA-AL,03/2021,GESAC,2021-02-01,20000.0,52778.39296657399,20000.0,5238474.425067611,0.0,BANCADA-AL,BANCADA-AL
80,BANCADA-MG,04/2021,GESAC,2021-02-01,10000.0,134514.288564645,10000.0,13392074.34264488,0.0,BANCADA-MG,BANCADA-MG
81,BANCADA-SP,05/2021,GESAC,2021-02-01,50000.0,10642.339043281832,50000.0,1010329.1335042845,0.0,BANCADA-SP,BANCADA-SP
82,BANCADA-ES,06/2021,GESAC,2021-02-01,20000.0,9788.25148609575,20000.0,955233.7502652404,0.0,BANCADA-ES,BANCADA-ES
83,BANCADA-ES,07/2021,GESAC,2021-02-01,10000.0,22257.903155355925,10000.0,2207623.6887734933,0.0,BANCADA-ES,BANCADA-ES
84,BANCADA-ES,08/2021,GESAC,2021-02-01,50000.0,27698.959134142402,50000.0,2709732.913810536,0.0,BANCADA-ES,BANCADA-ES
85,BANCADA-MA,09/2021,GESAC,2021-02-01,20000.0,7503.109843299885,20000.0,727558.025202726,0.0,BANCADA-MA,BANCADA-MA
86,BANCADA-PA,10/2021,GESAC,2021-02-01,10000.0,-50.807318674208815,-5062.090200885665,0.0,0.0,BANCADA-PA,BANCADA-PA
87,BANCADA-PA,11/2021,GESAC,2021-02-01,50000.0,3912.1372153662505,50000.0,339778.32287139515,0.0,BANCADA-PA,BANCADA-PA
88,JUNIO AMARAL,12/2021,GESAC,2021-02-01,20000.0,1596.7186552825283,20000.0,139086.01495595239,0.0,GERALDO JUNIO DO AMARAL,DEP. GERALDO JUNIO DO AMARAL
89,CELSO SABINO,13/2021,GESAC,2021-02-01,10000.0,784.6510257482183,10000.0,68177.20698910301,0.0,CELSO SABINO DE OLIVEIRA,DEP. CELSO SABINO DE OLIVEIRA
90,CORONEL CHRISOSTOMO,14/2021,GESAC,2021-02-01,50000.0,1303.7406961973923,50000.0,79895.71532077008,0.0,JOAO CHRISOSTOMO DE MOURA,DEP. JOAO CHRISOSTOMO DE MOURA
91,DIMAS FABIANO,15/2021,GESAC,2021-02-01,20000.0,-2919.853056417472,-290913.9850440476,0.0,0.0,DIMAS FABIANO TOLEDO JUNIOR,DEP. DIMAS FABIANO TOLEDO JUNIOR
92,EDNA HENRIQUE,16/2021,GESAC,2021-02-01,10000.0,1606.8566260872747,10000.0,150096.09232288934,0.0,EDNACE ALVES SILVESTRE HENRIQUE,DEP. EDNACE ALVES SILVESTRE HENRIQUE
93,ELIAS VAZ,17/2021,GESAC,2021-02-01,10000.0,3854.4518013786055,10000.0,374030.9467747872,0.0,ELIAS VAZ DE ANDRADE,DEP. ELIAS VAZ DE ANDRADE
94,EXPEDITO NETTO,18/2021,GESAC,2021-02-01,50000.0,2751.8407410895725,50000.0,224174.3987552477,0.0,EXPEDITO GONCALVES FERREIRA NETTO,DEP. EXPEDITO GONCALVES FERREIRA NETTO
95,FABIO REIS,19/2021,GESAC,2021-02-01,20000.0,-4191.276555121466,-417589.83808866766,0.0,0.0,FABIO DE ALMEIDA REIS,DEP. FABIO DE ALMEIDA REIS
96,FLAVIA ARRUDA,20/2021,GESAC,2021-02-01,10000.0,8433.945506707112,10000.0,830300.0594868646,0.0,FLAVIA CAROLINA PERES,DEP. FLAVIA CAROLINA PERES
97,FLAVIANO MELO,21/2021,GESAC,2021-02-01,50000.0,468.3695525932699,46665.106217839886,0.0,0.0,FLAVIANO FLAVIO BAPTISTA DE MELO,DEP. FLAVIANO FLAVIO BAPTISTA DE MELO
98,FLAVIANO MELO,22/2021,GESAC,2021-02-01,20000.0,4996.963111242744,20000.0,477862.8799879871,0.0,FLAVIANO FLAVIO BAPTISTA DE MELO,DEP. FLAVIANO FLAVIO BAPTISTA DE MELO
99,GENERAL GIRAO,23/2021,GESAC,2021-02-01,20000.0,-2919.853056417472,-290913.9850440476,0.0,0.0,ELIESER GIRAO MONTEIRO FILHO,DEP. ELIESER GIRAO MONTEIRO FILHO
100,JOAO ROMA,24/2021,GESAC,2021-02-01,10000.0,229.79384952249342,10000.0,12895.071502407387,0.0,JOAO INACIO RIBEIRO ROMA NETO,DEP. JOAO INACIO RIBEIRO ROMA NETO
101,JOENIA WAPICHANA,25/2021,GESAC,2021-02-01,10000.0,-108.49700419067825,-10809.891883113352,0.0,0.0,JOENIA BATISTA DE CARVALHO,DEP. JOENIA BATISTA DE CARVALHO
102,JOSE NUNES,26/2021,GESAC,2021-02-01,50000.0,1998.1916963225283,50000.0,149086.01495595239,0.0,JOSE NUNES SOARES,DEP. JOSE NUNES SOARES
103,JOSIVALDO JP,27/2021,GESAC,2021-02-01,20000.0,-3984.3399909158566,-396972.1085724293,0.0,0.0,JOSIVALDO DOS SANTOS MELO,DEP. JOSIVALDO DOS SANTOS MELO
104,JUNIOR LOURENCO,28/2021,GESAC,2021-02-01,10000.0,2995.7586263375474,10000.0,288476.691593254,0.0,JOSE LOURENCO BOMFIM JUNIOR,DEP. JOSE LOURENCO BOMFIM JUNIOR
105,LEO DE BRITO,29/2021,GESAC,2021-02-01,50000.0,4158.590925521001,50000.0,364333.26778289623,0.0,LEONARDO CUNHA DE BRITO,DEP. LEONARDO CUNHA DE BRITO
106,LEUR LOMANTO,30/2021,GESAC,2021-02-01,20000.0,569.7749272665955,20000.0,36768.43713247754,0.0,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,DEP. LEUR ANTONIO DE BRITTO LOMANTO JUNIOR
107,LUCIANO BIVAR,31/2021,GESAC,2021-02-01,20000.0,0.00043749867912888505,0.04358934567517281,0.0,0.0,LUCIANO CALDAS BIVAR,DEP. LUCIANO CALDAS BIVAR
108,LUIS TIBE,32/2021,GESAC,2021-02-01,10000.0,1596.7186552825283,10000.0,149086.01495595239,0.0,LUIS HENRIQUE DE OLIVEIRA RESENDE,DEP. LUIS HENRIQUE DE OLIVEIRA RESENDE
109,MARA ROCHA,33/2021,GESAC,2021-02-01,10000.0,3939.358320665438,10000.0,382490.445730621,0.0,CYLMARA FERNANDES DA ROCHA GRIPP,DEP. CYLMARA FERNANDES DA ROCHA GRIPP
110,MARX BELTRAO,34/2021,GESAC,2021-02-01,50000.0,1998.1916963225283,50000.0,149086.01495595239,0.0,MARX BELTRAO LIMA SIQUEIRA,DEP. MARX BELTRAO LIMA SIQUEIRA
111,MINISTERIO DAS COMUNICACOES,35/2021,GESAC,2021-02-01,20000.0,151029.56343960934,20000.0,15027542.225836456,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
112,MINISTERIO DAS COMUNICACOES,36/2021,GESAC,2021-02-01,10000.0,36886.995026605146,10000.0,3665165.329263538,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
113,MINISTERIO DAS COMUNICACOES,37/2021,GESAC,2021-02-01,50000.0,101178.97152694514,50000.0,10030773.66936968,0.0,MINISTERIO DAS COMUNICACOES,MINISTERIO DAS COMUNICACOES
114,MINISTERIO DA EDUCACAO,38/2021,GESAC,2021-02-01,20000.0,170858.24073839982,20000.0,17003134.633976746,0.0,MINISTERIO DA EDUCACAO,MINISTERIO DA EDUCACAO
115,MINISTERIO DA EDUCACAO,39/2021,GESAC,2021-02-01,20000.0,32299.457519271913,20000.0,3198094.787694979,0.0,MINISTERIO DA EDUCACAO,MINISTERIO DA EDUCACAO
116,MINISTERIO DA JUSTICA,40/2021,GESAC,2021-02-01,10000.0,5843.823833500388,10000.0,572238.2313255399,0.0,MINISTERIO DA JUSTICA,MINISTERIO DA JUSTICA
117,MINISTERIO DO MEIO AMBIENTE,41/2021,GESAC,2021-02-01,10000.0,892.1367322316742,10000.0,78886.34015580516,0.0,MINISTERIO DO MEIO AMBIENTE,MINISTERIO DO MEIO AMBIENTE
118,PERPETUA ALMEIDA,42/2021,GESAC,2021-02-01,50000.0,4096.751652905057,50000.0,358172.02991190477,0.0,MARIA PERPETUA DE ALMEIDA,DEP. MARIA PERPETUA DE ALMEIDA
119,POLICIA RODOVIARIA FEDERAL RO,43/2021,GESAC,2021-02-01,20000.0,-4548.011167659763,-453132.4101741247,0.0,0.0,POLICIA RODOVIARIA FEDERAL-RO,POLICIA RODOVIARIA FEDERAL-RO
120,CONFUCIO MOURA,44/2021,GESAC,2021-02-01,10000.0,-1540.771911245174,-153511.86792058218,0.0,0.0,CONFUCIO AIRES MOURA,SEN. CONFUCIO AIRES MOURA
121,SERGIO PETECAO,45/2021,GESAC,2021-02-01,50000.0,2387.3384464614896,50000.0,187857.90849389875,0.0,SERGIO PETECAO,SEN. SERGIO PETECAO
122,SORAYA THRONICKE,46/2021,GESAC,2021-02-01,20000.0,3296.8634071175475,20000.0,308476.691593254,0.0,SORAYA THRONICKE,SEN. SORAYA THRONICKE
123,ULDURICO JUNIOR,47/2021,GESAC,2021-02-01,10000.0,3032.2647184066727,10000.0,292113.90638352314,0.0,ULDURICO ALENCAR PINTO,DEP. ULDURICO ALENCAR PINTO
124,BANCADA-AL,48/2021,WifiBrasil,2021-02-01,50000.0,5662.04494798588,50000.0,514127.0390976765,0.0,BANCADA-AL,BANCADA-AL
125,BANCADA-AL,49/2021,WifiBrasil,2021-02-01,20000.0,5963.14972876588,20000.0,574127.0390976765,0.0,BANCADA-AL,BANCADA-AL
126,BANCADA-AL,50/2021,WifiBrasil,2021-02-01,10000.0,1673.7766305706398,10000.0,156763.5392139694,0.0,BANCADA-AL,BANCADA-AL
127,BANCADA-MG,51/2021,WifiBrasil,2021-02-01,100000.0,2585.0650905598845,100000.0,157558.025202726,0.0,BANCADA-MG,BANCADA-MG
128,BANCADA-SP,52/2021,WifiBrasil,2021-02-01,50000.0,47699.03517168187,50000.0,4702402.308072234,0.0,BANCADA-SP,BANCADA-SP
129,BANCADA-ES,53/2021,WifiBrasil,2021-02-01,20000.0,6948.360080864156,20000.0,672286.5916839351,0.0,BANCADA-ES,BANCADA-ES
130,BANCADA-ES,54/2021,WifiBrasil,2021-02-01,10000.0,7436.189838816519,10000.0,730890.5783116459,0.0,BANCADA-ES,BANCADA-ES
131,BANCADA-PA,55/2021,WifiBrasil,2021-02-01,50000.0,8316.720101591294,50000.0,778620.5300407878,0.0,BANCADA-PA,BANCADA-PA
132,BANCADA-PA,56/2021,WifiBrasil,2021-02-01,20000.0,1765.0183678133585,20000.0,155854.2355164021,0.0,BANCADA-PA,BANCADA-PA
133,CORONEL CHRISOSTOMO,57/2021,WifiBrasil,2021-02-01,10000.0,2665.463537518906,10000.0,255568.37097844755,0.0,JOAO CHRISOSTOMO DE MOURA,DEP. JOAO CHRISOSTOMO DE MOURA
134,DIMAS FABIANO,58/2021,WifiBrasil,2021-02-01,50000.0,422.7486839719105,42119.75806662353,0.0,0.0,DIMAS FABIANO TOLEDO JUNIOR,DEP. DIMAS FABIANO TOLEDO JUNIOR
135,EDNA HENRIQUE,59/2021,WifiBrasil,2021-02-01,20000.0,842.4630245814258,20000.0,63937.19512513802,0.0,EDNACE ALVES SILVESTRE HENRIQUE,DEP. EDNACE ALVES SILVESTRE HENRIQUE
136,FABIO REIS,60/2021,WifiBrasil,2021-02-01,10000.0,430.85201273667917,10000.0,32927.11775820106,0.0,FABIO DE ALMEIDA REIS,DEP. FABIO DE ALMEIDA REIS
137,FLAVIA ARRUDA,61/2021,WifiBrasil,2021-02-01,50000.0,223.841696782784,22302.040127320222,0.0,0.0,FLAVIA CAROLINA PERES,DEP. FLAVIA CAROLINA PERES
138,GENERAL GIRAO,62/2021,WifiBrasil,2021-02-01,20000.0,3635.920052004499,20000.0,342257.95312041795,0.0,ELIESER GIRAO MONTEIRO FILHO,DEP. ELIESER GIRAO MONTEIRO FILHO
139,JOSE NUNES,63/2021,WifiBrasil,2021-02-01,10000.0,440.9899835414257,10000.0,33937.19512513802,0.0,JOSE NUNES SOARES,DEP. JOSE NUNES SOARES
140,JOSIVALDO JP,64/2021,WifiBrasil,2021-02-01,50000.0,742.0947643214257,50000.0,23937.195125138023,0.0,JOSIVALDO DOS SANTOS MELO,DEP. JOSIVALDO DOS SANTOS MELO
