,prop_pk1,uf,partido,orgao,prop_1,prop_2,prop_3,prop_4,prop_pk2
355,IVAN VALENTE,SP,PSOL,camara,,,,,DEP. IVAN VALENTE
356,JANDIRA FEGHALI,RJ,PCdoB,camara,,,,,DEP. JANDIRA FEGHALI
357,DIRLAINE JAQUELINE CASSOL,RO,PP,camara,JAQUELINE CASSOL,,,,DEP. DIRLAINE JAQUELINE CASSOL
358,JEFFERSON ALVES DE CAMPOS,SP,PSB,camara,,,,,DEP. JEFFERSON ALVES DE CAMPOS
359,JERONIMO PIZZOLOTTO GOERGEN,RS,PP,camara,,,,,DEP. JERONIMO PIZZOLOTTO GOERGEN
360,JESSICA ROJAS SALES,AC,MDB,camara,,,,,DEP. JESSICA ROJAS SALES
361,JESUS SERGIO DE MENEZES,AC,PDT,camara,,,,,DEP. JESUS SERGIO DE MENEZES
362,JOHNATHAN PEREIRA DE JESUS,RR,REPUBLICANOS,camara,,,,,DEP. JOHNATHAN PEREIRA DE JESUS
363,JOAO CAMPOS DE ARAUJO,GO,REPUBLICANOS,camara,,,,,DEP. JOAO CAMPOS DE ARAUJO
364,JOAO CARLOS PAOLILO BACELAR FILHO,BA,PL,camara,,,,,DEP. JOAO CARLOS PAOLILO BACELAR FILHO
365,JOAO SOMARIVA DANIEL,SE,PT,camara,JOAO DANIEL,,,,DEP. JOAO SOMARIVA DANIEL
366,JOAO DA SILVA MAIA,RN,PL,camara,,,,,DEP. JOAO DA SILVA MAIA
367,JOAO MARCELO SANTOS SOUZA,MA,MDB,camara,,,,,DEP. JOAO MARCELO SANTOS SOUZA
368,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PA,PSD,camara,,,,,DEP. JOAQUIM PASSARINHO PINTO DE SOUZA PORTO
369,JOENIA BATISTA DE CARVALHO,RR,REDE,camara,JOENIA WAPICHANA,JOENIA BATISTA DE CARVALHO,,,DEP. JOENIA BATISTA DE CARVALHO
370,JOICE CRISTINA HASSELMANN,SP,PSL,camara,,,,,DEP. JOICE CRISTINA HASSELMANN
371,JONES BARBOSA DE MOURA,RJ,PSD,camara,,,,,DEP. JONES BARBOSA DE MOURA
372,JORGE BRAZ DE OLIVEIRA,RJ,REPUBLICANOS,camara,,,,,DEP. JORGE BRAZ DE OLIVEIRA
373,JORGE JOSE SANTOS PEREIRA SOLLA,BA,PT,camara,,,,,DEP. JORGE JOSE SANTOS PEREIRA SOLLA
374,JORIELSON BRITO NASCIMENTO,AP,PL,camara,,,,,DEP. JORIELSON BRITO NASCIMENTO
375,JOSE AIRTON FELIX CIRILO DA SILVA,CE,PT,camara,,,,,DEP. JOSE AIRTON FELIX CIRILO DA SILVA
376,JOSE NOBRE GUIMARAES,CE,PT,camara,,,,,DEP. JOSE NOBRE GUIMARAES
377,JOSE MARIO SCHREINER,GO,DEM,camara,,,,,DEP. JOSE MARIO SCHREINER
378,JOSE ANTONIO DOS SANTOS MEDEIROS,MT,PODE,camara,JOSE MEDEIROS,,,,DEP. JOSE ANTONIO DOS SANTOS MEDEIROS
379,JOSE NELTO LAGARES DAS MERCEZ,GO,PODE,camara,,,,,DEP. JOSE NELTO LAGARES DAS MERCEZ
380,JOSE NUNES SOARES,BA,PSD,camara,JOSE NUNES,,,,DEP. JOSE NUNES SOARES
381,JOSE BENITO PRIANTE JUNIOR,PA,MDB,camara,,,,,DEP. JOSE BENITO PRIANTE JUNIOR
382,JOSE RICARDO WENDLING,AM,PT,camara,,,,,DEP. JOSE RICARDO WENDLING
383,JOSE ALVES ROCHA,BA,PL,camara,,,,,DEP. JOSE ALVES ROCHA
384,JOSEILDO RIBEIRO RAMOS,BA,PT,camara,,,,,DEP. JOSEILDO RIBEIRO RAMOS
385,JOSIMAR CUNHA RODRIGUES,MA,PL,camara,,,,,DEP. JOSIMAR CUNHA RODRIGUES
386,JOSIVALDO DOS SANTOS MELO,MA,PODE,camara,JOSIVALDO JP,,,,DEP. JOSIVALDO DOS SANTOS MELO
387,JUAREZ ALVES DA COSTA,MT,MDB,camara,,,,,DEP. JUAREZ ALVES DA COSTA
388,GULLIEM CHARLES BEZERRA LEMOS,PB,PSL,camara,,,,,DEP. GULLIEM CHARLES BEZERRA LEMOS
389,JULIO CESAR DE CARVALHO LIMA,PI,PSD,camara,,,,,DEP. JULIO CESAR DE CARVALHO LIMA
390,JULIO CESAR RIBEIRO,DF,REPUBLICANOS,camara,,,,,DEP. JULIO CESAR RIBEIRO
391,JULIO CESAR DELGADO,MG,PSB,camara,,,,,DEP. JULIO CESAR DELGADO
392,JULIO LUIZ BAPTISTA LOPES,RJ,PP,camara,,,,,DEP. JULIO LUIZ BAPTISTA LOPES
393,ROGERIO TEIXEIRA JUNIOR,RJ,DEM,camara,,,,,DEP. ROGERIO TEIXEIRA JUNIOR
394,GERALDO JUNIO DO AMARAL,MG,PSL,camara,CABO JUNIO AMARAL,JUNIO AMARAL,,,DEP. GERALDO JUNIO DO AMARAL
395,JOAO FERRARI JUNIOR,PA,PSD,camara,,,,,DEP. JOAO FERRARI JUNIOR
396,JOSE LOURENCO BOMFIM JUNIOR,MA,PL,camara,UNOR LOURENCO,JUNOR LOURENCO,JUNIOR LOURENCO,,DEP. JOSE LOURENCO BOMFIM JUNIOR
397,ANTONIO LUIZ RODRIGUES MANO JUNIOR,CE,PL,camara,,,,,DEP. ANTONIO LUIZ RODRIGUES MANO JUNIOR
398,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,MA,DEM,camara,,,,,DEP. JOSE JUSCELINO DOS SANTOS REZENDE FILHO
399,KIM PATROCA KATAGUIRI,SP,DEM,camara,,,,,DEP. KIM PATROCA KATAGUIRI
400,LAERCIO JOSE DE OLIVEIRA,SE,PP,camara,,,,,DEP. LAERCIO JOSE DE OLIVEIRA
401,LAERTE RODRIGUES DE BESSA,DF,PL,camara,,,,,DEP. LAERTE RODRIGUES DE BESSA
402,LAFAYETTE LUIZ DOORGAL DE ANDRADA,MG,REPUBLICANOS,camara,,,,,DEP. LAFAYETTE LUIZ DOORGAL DE ANDRADA
403,LAURIETE RODRIGUES DE JESUS,ES,PSC,camara,,,,,DEP. LAURIETE RODRIGUES DE JESUS
404,LEANDRE DAL PONTE,PR,PV,camara,,,,,DEP. LEANDRE DAL PONTE
405,LEDA MARIA SADALA BRITO,AP,AVANTE,camara,,,,,DEP. LEDA MARIA SADALA BRITO
406,LEONARDO CUNHA DE BRITO,AC,PT,camara,LEO DE BRITO,,,,DEP. LEONARDO CUNHA DE BRITO
407,LEONARDO BARRETO DE MORAES,RO,PODE,camara,,,,,DEP. LEONARDO BARRETO DE MORAES
408,ELIEL MARCIO DO CARMO,MG,PSL,camara,,,,,DEP. ELIEL MARCIO DO CARMO
409,JOSE LEONARDO COSTA MONTEIRO,MG,PT,camara,,,,,DEP. JOSE LEONARDO COSTA MONTEIRO
410,LEONARDO CARNEIRO MONTEIRO PICCIANI,RJ,MDB,camara,,,,,DEP. LEONARDO CARNEIRO MONTEIRO PICCIANI
411,JOSE LEONIDAS DE MENEZES CRISTINO,CE,PDT,camara,,,,,DEP. JOSE LEONIDAS DE MENEZES CRISTINO
412,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,BA,DEM,camara,LEUR LOMANTO,,,,DEP. LEUR ANTONIO DE BRITTO LOMANTO JUNIOR
413,LIDICE DA MATA E SOUZA,BA,PSB,camara,,,,,DEP. LIDICE DA MATA E SOUZA
414,LINCOLN DINIZ PORTELA,MG,PL,camara,,,,,DEP. LINCOLN DINIZ PORTELA
415,LIZIANE BAYER DA COSTA,RS,PSB,camara,,,,,DEP. LIZIANE BAYER DA COSTA
416,LOESTER CARLOS GOMES DE SOUZA,MS,PSL,camara,,,,,DEP. LOESTER CARLOS GOMES DE SOUZA
417,LOURIVAL GOMES DE ALMEIDA,RJ,PSL,camara,,,,,DEP. LOURIVAL GOMES DE ALMEIDA
418,LUCAS DE VASCONCELOS GONZALEZ,MG,NOVO,camara,,,,,DEP. LUCAS DE VASCONCELOS GONZALEZ
419,LUCAS BELLO REDECKER,RS,PSDB,camara,,,,,DEP. LUCAS BELLO REDECKER
420,LUCAS DE CASTRO SANTOS,GO,SOLIDARIEDADE,camara,,,,,DEP. LUCAS DE CASTRO SANTOS
421,LUCIANO CALDAS BIVAR,PE,PSL,camara,LUCIANO CALDAS BIVAR,LUCIANO BIVAR,,,DEP. LUCIANO CALDAS BIVAR
422,LUCIANO DUCCI,PR,PSB,camara,,,,,DEP. LUCIANO DUCCI
423,LUCIO ANTONIO MOSQUINI,RO,MDB,camara,,,,,DEP. LUCIO ANTONIO MOSQUINI
424,LUIS CLAUDIO FERNANDES MIRANDA,DF,DEM,camara,,,,,DEP. LUIS CLAUDIO FERNANDES MIRANDA
425,LUIS HENRIQUE DE OLIVEIRA RESENDE,MG,AVANTE,camara,LUIS TIBE,,,,DEP. LUIS HENRIQUE DE OLIVEIRA RESENDE
426,LUISA CANZIANI DOS SANTOS SILVEIRA,PR,PTB,camara,,,,,DEP. LUISA CANZIANI DOS SANTOS SILVEIRA
427,LUIZ ANTONIO C. C. CORREA DA SILVA,RJ,PL,camara,,,,,DEP. LUIZ ANTONIO C. C. CORREA DA SILVA
428,LUIZ CARLOS MOTTA,SP,PL,camara,,,,,DEP. LUIZ CARLOS MOTTA
429,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,RJ,PSL,camara,,,,,DEP. LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA
430,LUIZ HILOSHI NISHIMORI,PR,PL,camara,,,,,DEP. LUIZ HILOSHI NISHIMORI
431,LUIZ PHILIPPE DE ORLEANS BRAGANCA,SP,PSL,camara,,,,,DEP. LUIZ PHILIPPE DE ORLEANS BRAGANCA
432,LUIZA ERUNDINA DE SOUSA,SP,PSOL,camara,,,,,DEP. LUIZA ERUNDINA DE SOUSA
433,LUIZ GOULARTE ALVES,PR,REPUBLICANOS,camara,,,,,DEP. LUIZ GOULARTE ALVES
434,LUIZIANNE DE OLIVEIRA LINS,CE,PT,camara,,,,,DEP. LUIZIANNE DE OLIVEIRA LINS
435,MAGDA MOFATTO HON,GO,PL,camara,,,,,DEP. MAGDA MOFATTO HON
436,FABIANA SILVA DE SOUZA POUBEL,RJ,PSL,camara,,,,,DEP. FABIANA SILVA DE SOUZA POUBEL
437,CYLMARA FERNANDES DA ROCHA GRIPP,AC,PSDB,camara,MARA ROCHA,,,,DEP. CYLMARA FERNANDES DA ROCHA GRIPP
438,MARCEL VAN HATTEM,RS,NOVO,camara,,,,,DEP. MARCEL VAN HATTEM
439,MARCELO HENRIQUE TEIXEIRA DIAS,MG,PSL,camara,,,,,DEP. MARCELO HENRIQUE TEIXEIRA DIAS
440,MARCELO GUILHERME DE ARO FERREIRA,MG,PP,camara,,,,,DEP. MARCELO GUILHERME DE ARO FERREIRA
441,MARCELO DE BRUM DA COSTA,RS,PSL,camara,,,,,DEP. MARCELO DE BRUM DA COSTA
442,MARCELO RIBEIRO FREIXO,RJ,PSB,camara,,,,,DEP. MARCELO RIBEIRO FREIXO
443,MARCELO PIRES MORAES,RS,PTB,camara,,,,,DEP. MARCELO PIRES MORAES
444,JOSE MARCELO DO NASCIMENTO NILO,BA,PSB,camara,,,,,DEP. JOSE MARCELO DO NASCIMENTO NILO
445,MARCELO RAMOS RODRIGUES,AM,PL,camara,,,,,DEP. MARCELO RAMOS RODRIGUES
446,MARCIO LUIZ ALVINO DE SOUZA,SP,PL,camara,,,,,DEP. MARCIO LUIZ ALVINO DE SOUZA
447,MARCIO DELLA VALLE BIOLCHI,RS,MDB,camara,,,,,DEP. MARCIO DELLA VALLE BIOLCHI
448,MARCIO DA SILVEIRA LABRE,RJ,PSL,camara,,,,,DEP. MARCIO DA SILVEIRA LABRE
449,MARCIO CARLOS MARINHO,BA,REPUBLICANOS,camara,,,,,DEP. MARCIO CARLOS MARINHO
450,MARCO AURELIO BERTAIOLLI,SP,PSD,camara,,,,,DEP. MARCO AURELIO BERTAIOLLI
451,DIONILSO MATEUS MARCON,RS,PT,camara,,,,,DEP. DIONILSO MATEUS MARCON
452,MARCOS AURELIO PADUA RIBEIRO GONCALVES DE SAMPAIO,PI,MDB,camara,,,,,DEP. MARCOS AURELIO PADUA RIBEIRO GONCALVES DE SAMPAIO
453,MARCOS ANTONIO PEREIRA,SP,REPUBLICANOS,camara,,,,,DEP. MARCOS ANTONIO PEREIRA
454,MARCOS BEZERRA RIBEIRO SOARES,RJ,DEM,camara,,,,,DEP. MARCOS BEZERRA RIBEIRO SOARES
455,MARGARETE DE CASTRO COELHO,PI,PP,camara,,,,,DEP. MARGARETE DE CASTRO COELHO
456,MARIA DO ROSARIO NUNES,RS,PT,camara,,,,,DEP. MARIA DO ROSARIO NUNES
457,MARIA DO PARTO MENDES ROSAS,SP,REPUBLICANOS,camara,,,,,DEP. MARIA DO PARTO MENDES ROSAS
458,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,RO,PSDB,camara,,,,,DEP. MARIANA FONSECA RIBEIRO CARVALHO DE MORAES
459,MARILIA VALENCA ROCHA ARRAES DE ALENCAR,PE,PT,camara,,,,,DEP. MARILIA VALENCA ROCHA ARRAES DE ALENCAR
460,MARINA SANTOS BATISTA DIAS,PI,PL,camara,,,,,DEP. MARINA SANTOS BATISTA DIAS
461,MARIO LUCIO HERINGER,MG,PDT,camara,,,,,DEP. MARIO LUCIO HERINGER
462,MARIO S. M. NEGROMONTE JR.,BA,PP,camara,,,,,DEP. MARIO S. M. NEGROMONTE JR.
463,MARLON ARATOR SANTOS DA ROSA,RS,PDT,camara,,,,,DEP. MARLON ARATOR SANTOS DA ROSA
464,ANTONIO DA CRUZ FILGUEIRA NETO,MA,PATRIOTA,camara,,,,,DEP. ANTONIO DA CRUZ FILGUEIRA NETO
465,MARX BELTRAO LIMA SIQUEIRA,AL,PSD,camara,MARX BELTRAO,,,,DEP. MARX BELTRAO LIMA SIQUEIRA
466,MAURICIO ALEXANDRE DZIEDRICKI,RS,PTB,camara,,,,,DEP. MAURICIO ALEXANDRE DZIEDRICKI
467,CARLOS MAURO BENEVIDES FILHO,CE,PDT,camara,,,,,DEP. CARLOS MAURO BENEVIDES FILHO
468,MAURO RIBEIRO LOPES,MG,MDB,camara,,,,,DEP. MAURO RIBEIRO LOPES
469,MAURO NAZIF RASUL,RO,PSB,camara,,,,,DEP. MAURO NAZIF RASUL
470,MERLONG SOLANO NOGUEIRA,PI,PT,camara,,,,,DEP. MERLONG SOLANO NOGUEIRA
471,MIGUEL MOUBADDA HADDAD,SP,PSDB,camara,,,,,DEP. MIGUEL MOUBADDA HADDAD
472,MIGUEL LOMBARDI,SP,PL,camara,,,,,DEP. MIGUEL LOMBARDI
473,MILTON COELHO DA SILVA NETO,PE,PSB,camara,,,,,DEP. MILTON COELHO DA SILVA NETO
474,MILTON VIEIRA PINTO,SP,REPUBLICANOS,camara,,,,,DEP. MILTON VIEIRA PINTO
475,MISAEL ARTUR FERREIRA VARELLA,MG,PSD,camara,,,,,DEP. MISAEL ARTUR FERREIRA VARELLA
476,MOSES HAENDEL MELO RODRIGUES,CE,MDB,camara,,,,,DEP. MOSES HAENDEL MELO RODRIGUES
477,NATALIA BASTOS BONAVIDES,RN,PT,camara,,,,,DEP. NATALIA BASTOS BONAVIDES
478,NELSON NED PREVIDENTE,MT,PSL,camara,,,,,DEP. NELSON NED PREVIDENTE
479,NEREU CRISPIM,RS,PSL,camara,,,,,DEP. NEREU CRISPIM
480,NERI GELLER,MT,PP,camara,,,,,DEP. NERI GELLER
481,NEUCIMAR FERREIRA FRAGA,ES,PSD,camara,NEUCIMAR FRAGA,,,,DEP. NEUCIMAR FERREIRA FRAGA
482,NEWTON CARDOSO JUNIOR,MG,MDB,camara,,,,,DEP. NEWTON CARDOSO JUNIOR
483,ANTONIO CARLOS NICOLETTI,RR,PSL,camara,,,,,DEP. ANTONIO CARLOS NICOLETTI
484,NILSON PINTO DE OLIVEIRA,PA,PSDB,camara,,,,,DEP. NILSON PINTO DE OLIVEIRA
485,NILTO IGNACIO TATTO,SP,PT,camara,,,,,DEP. NILTO IGNACIO TATTO
486,NIVALDO FERREIRA DE ALBUQUERQUE NETO,AL,PTB,camara,,,,,DEP. NIVALDO FERREIRA DE ALBUQUERQUE NETO
487,NORMA AYUB ALVES,ES,DEM,camara,,,,,DEP. NORMA AYUB ALVES
488,ODAIR JOSE DA CUNHA,MG,PT,camara,,,,,DEP. ODAIR JOSE DA CUNHA
489,OLIVAL HENRIQUE MARQUES DE SOUZA,PA,DEM,camara,,,,,DEP. OLIVAL HENRIQUE MARQUES DE SOUZA
490,ORLANDO SILVA DE JESUS JUNIOR,SP,PCdoB,camara,,,,,DEP. ORLANDO SILVA DE JESUS JUNIOR
491,OSIRES RODRIGUES DAMASO,TO,PSC,camara,,,,,DEP. OSIRES RODRIGUES DAMASO
492,OSMAR JOSE SERRAGLIO,PR,PP,camara,,,,,DEP. OSMAR JOSE SERRAGLIO
493,OSMAR GASPARINI TERRA,RS,MDB,camara,,,,,DEP. OSMAR GASPARINI TERRA
494,OSSESIO JOSE DA SILVA,PE,REPUBLICANOS,camara,,,,,DEP. OSSESIO JOSE DA SILVA
495,OTAVIO SANTOS SILVA LEITE,RJ,PSDB,camara,,,,,DEP. OTAVIO SANTOS SILVA LEITE
496,OTONI MOURA DE PAULO JUNIOR,RJ,PSC,camara,,,,,DEP. OTONI MOURA DE PAULO JUNIOR
497,JOSE OTACI BARROSO DO NASCIMENTO,RR,SOLIDARIEDADE,camara,,,,,DEP. JOSE OTACI BARROSO DO NASCIMENTO
498,OTTO ROBERTO MENDONCA DE ALENCAR FILHO,BA,PSD,camara,,,,,DEP. OTTO ROBERTO MENDONCA DE ALENCAR FILHO
499,JOAO CARLOS SIQUEIRA,MG,PT,camara,,,,,DEP. JOAO CARLOS SIQUEIRA
500,FRANCISCO EURICO DA SILVA,PE,PATRIOTA,camara,,,,,DEP. FRANCISCO EURICO DA SILVA
501,GILDENEMIR DE LIMA SOUSA,MA,PL,camara,,,,,DEP. GILDENEMIR DE LIMA SOUSA
502,MANOEL ISIDORIO DE SANTANA JUNIOR,BA,AVANTE,camara,,,,,DEP. MANOEL ISIDORIO DE SANTANA JUNIOR
503,PATRUS ANANIAS DE SOUZA,MG,PT,camara,,,,,DEP. PATRUS ANANIAS DE SOUZA
504,PAULA MORENO PARO BELMONTE,DF,CIDADANIA,camara,,,,,DEP. PAULA MORENO PARO BELMONTE
505,PAULO FERNANDO DOS SANTOS,AL,PT,camara,,,,,DEP. PAULO FERNANDO DOS SANTOS
506,PAULO ABI-ACKEL,MG,PSDB,camara,,,,,DEP. PAULO ABI-ACKEL
507,PAULO VELLOSO DANTAS AZI,BA,DEM,camara,,,,,DEP. PAULO VELLOSO DANTAS AZI
508,PAULO EDUARDO MAESTRI BENGTSON,PA,PTB,camara,,,,,DEP. PAULO EDUARDO MAESTRI BENGTSON
509,PAULO EDUARDO LIMA MARTINS,PR,PSC,camara,,,,,DEP. PAULO EDUARDO LIMA MARTINS
510,PAULO ROBERTO FREIRE DA COSTA,SP,PL,camara,,,,,DEP. PAULO ROBERTO FREIRE DA COSTA
511,PAULO GUSTAVO GANIME ALVES TEIXEIRA,RJ,NOVO,camara,,,,,DEP. PAULO GUSTAVO GANIME ALVES TEIXEIRA
512,PAULO JOSE CARLOS GUEDES,MG,PT,camara,,,,,DEP. PAULO JOSE CARLOS GUEDES
513,PAULO SERGIO PARANHOS DE MAGALHAES,BA,PSD,camara,,,,,DEP. PAULO SERGIO PARANHOS DE MAGALHAES
514,PAULO PEREIRA DA SILVA,SP,SOLIDARIEDADE,camara,,,,,DEP. PAULO PEREIRA DA SILVA
515,PAULO ROBERTO SEVERO PIMENTA,RS,PT,camara,,,,,DEP. PAULO ROBERTO SEVERO PIMENTA
516,PAULO SERGIO RAMOS BARBOZA,RJ,PDT,camara,,,,,DEP. PAULO SERGIO RAMOS BARBOZA
517,LUIZ PAULO TEIXEIRA FERREIRA,SP,PT,camara,,,,,DEP. LUIZ PAULO TEIXEIRA FERREIRA
518,PAULO VICENTE CALEFFI,RS,PSD,camara,,,,,DEP. PAULO VICENTE CALEFFI
519,PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,CE,PTB,camara,,,,,DEP. PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES
520,PEDRO AUGUSTO PALARETI,RJ,PSD,camara,,,,,DEP. PEDRO AUGUSTO PALARETI
521,PEDRO OLIVEIRA CUNHA LIMA,PB,PSDB,camara,,,,,DEP. PEDRO OLIVEIRA CUNHA LIMA
522,PEDRO DOS SANTOS MARTINS,AP,PSC,camara,,,,,DEP. PEDRO DOS SANTOS MARTINS
